"Subregion","Model","NPOT.per.yr","Match.per","No.Match.per"
"Midwest","CAMS-CSM1-0",3,87.3,12.7
"Midwest","CAS-ESM2-0",1,96.9,3.1
"Midwest","CAS-ESM2-0",2,97.9,2.1
"Midwest","CAS-ESM2-0",3,98.3,1.7
"Midwest","CESM2",1,84,16
"Midwest","CESM2",2,89.3,10.7
"Midwest","CESM2",3,90.1,9.9
"Midwest","CESM2-WACCM",1,93.5,6.5
"Midwest","CESM2-WACCM",2,97,3
"Midwest","CESM2-WACCM",3,98,2
"Midwest","CMCC-CM2-SR5",1,65.9,34.1
"Midwest","CMCC-CM2-SR5",2,77.3,22.7
"Midwest","CMCC-CM2-SR5",3,77.9,22.1
"Midwest","CMCC-ESM2",1,72.7,27.3
"Midwest","CMCC-ESM2",2,83.6,16.4
"Midwest","CMCC-ESM2",3,84,16
"Midwest","CNRM-CM6-1",1,88.4,11.6
"Midwest","CNRM-CM6-1",2,86.5,13.5
"Midwest","CNRM-CM6-1",3,86.8,13.2
"Midwest","CNRM-CM6-1-HR",1,94,6
"Midwest","CNRM-CM6-1-HR",2,97,3
"Midwest","CNRM-CM6-1-HR",3,98.3,1.7
"Midwest","CNRM-ESM2-1",1,74.6,25.4
"Midwest","CNRM-ESM2-1",2,79.3,20.7
"Midwest","CNRM-ESM2-1",3,82.2,17.8
"Midwest","EC-Earth3",1,91.1,8.9
"Midwest","EC-Earth3",2,90.8,9.2
"Midwest","EC-Earth3",3,92.1,7.9
